id,handle,created_at,text,cleaned_text
1514966424460173317,Peter21945805,2022-04-15 13:58:36+00:00,@yangyan84481296 Bitcoin is not an investment it's just speculation that 'number go up',yangyan84481296 bitcoin investment speculation number go
1514966423973543941,CryptoRay123,2022-04-15 13:58:36+00:00,@natbrunell @saylor Let’s change his name from Michael @saylor to Michael Stealer 😂. Happy Friday for all!! #Bitcoin 🚀🧡🍊💊,natbrunell saylor lets change name michael saylor michael stealer happy friday bitcoin
1514966413793923078,Crypto_News_Top,2022-04-15 13:58:34+00:00,Global Supply Chain Logistics Company Flexport Has Bitcoin On Their Balance Sheet https://t.co/HSh3iD4ebd #news,global supply chain logistics company flexport bitcoin balance sheet news
1514966407477436423,defidrop,2022-04-15 13:58:32+00:00,"@LFG_org @stablekwon plan to buy at least $10B in BTC as the UST money supply grows, they have already purchased over 42K bitcoin to back their stablecoin.

Track their reserves with @LFG_Reserve",lfg_org stablekwon plan buy least 10b btc ust money supply grows already purchased 42k bitcoin back stablecointrack reserves lfg_reserve
1514966407368171520,CryptoAmelia1,2022-04-15 13:58:32+00:00,"Full thanks to @Tradeosiann as they have analysed this #Bitcoin crash so my funds doesn't affected and I have not faced any type of losses 
They are absolutely amazing in tips,advices and everything 😌 $PYR $REN $KEY $TRB #Binance ,i",full thanks tradeosiann analysed bitcoin crash funds doesnt affected faced type losses absolutely amazing tipsadvices everything pyr ren key trb binance
1514966404461604864,Cryptohunk888,2022-04-15 13:58:32+00:00,#Bitcoin will be added to #Metamask,bitcoin added metamask
1514966402545123332,vandersenflines,2022-04-15 13:58:31+00:00,"From 11 April - 14 April 2022, there are 36.037 worth of #Bitcoin has been transferred out from exchanges.

Did you know about the law of supply and demand? https://t.co/SWMg93cidm",11 april 14 april 2022 36037 worth bitcoin transferred exchangesdid know law supply demand
1514966397717254145,diamondhandsint,2022-04-15 13:58:30+00:00,"The US and Europe Can't Regulate #Crypto Alone - Global adoptions makes regulating #cryptocurrency inside national siloes futile. 🚨👀🐂📈💹
#cryptotrading #bitcoin #altcoins",us europe cant regulate crypto alone global adoptions makes regulating cryptocurrency inside national siloes futile cryptotrading bitcoin altcoins
1514966393224978438,TomaszBednarsk4,2022-04-15 13:58:29+00:00,"@AlexEmidio7 #bitcoin Need to re-analyse the market to see if and when the next entries will be. 

But looks to me like bulls have full control. I usually trade to be much more useful lately 

I’ve been taking @Tz4hol tweets and tips seriously and I’ve been doing extremely good
Follow her",alexemidio7 bitcoin need reanalyse market see next entries looks like bulls full control usually trade much useful lately ive taking tz4hol tweets tips seriously ive extremely goodfollow
1514966383997878276,Singapore_HODL,2022-04-15 13:58:27+00:00,"@lopp Shitcoins dilute each other, not Bitcoin",lopp shitcoins dilute bitcoin
1514966378440179717,oyxoyxitxir,2022-04-15 13:58:25+00:00,@btctrek Bitcoin will not reward you until you have hodled through at least a 60% drawdown.,btctrek bitcoin reward hodled least 60 drawdown
1514966367543377920,St_Robert5,2022-04-15 13:58:23+00:00,#Bitcoin is bouncing Back to 45k,bitcoin bouncing back 45k
1514966357690961920,wizardfiz,2022-04-15 13:58:21+00:00,“Civilization advances by extending the number of operations we can perform without thinking about them” #bitcoin,civilization advances extending number operations perform without thinking bitcoin
1514966357401640961,Day_VTweets,2022-04-15 13:58:20+00:00,#BAYC waiting for #Bitcoin to pamp 😎 https://t.co/4RCsNf6BvF,bayc waiting bitcoin pamp
1514966354985685002,John_NFT2,2022-04-15 13:58:20+00:00,I am buying drop my best #Bitcoin #altcoin #Crypto 🥵🥵,buying drop best bitcoin altcoin crypto
