id,handle,created_at,text,cleaned_text
1514966602630012928,cotti_fi,2022-04-15 13:59:19+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/R3ORTl8ger",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966599056326657,MistArtworks,2022-04-15 13:59:18+00:00,Sad truth : The Dapps running on ethereum isn't fully Decentralised :/,sad truth dapps running ethereum isnt fully decentralised
1514966598318268417,Ethereum_Hourly,2022-04-15 13:59:18+00:00,"Current #Ethereum Price: $3,024.07 📈",current ethereum price 302407
1514966591804526593,LivePriceCrypto,2022-04-15 13:59:16+00:00,"#Bitcoin Last Price $40030 #BTC 🚀
Daily Indicators:
RSI: 39.6
MA(20): 43952
MA(50): 42094
MA(200): 48144
Bollinger B. lower/upper: 38485/49419

#Ethereum Last $3006 #ETH
RSI: 44.3
MA(20): 3262
MA(50): 2975
MA(200): 3491
BB: 2927/3598

DM for project price!
#Crypto #Live

34854",bitcoin last price 40030 btc daily indicatorsrsi 396ma20 43952ma50 42094ma200 48144bollinger b lowerupper 3848549419ethereum last 3006 ethrsi 443ma20 3262ma50 2975ma200 3491bb 29273598dm project pricecrypto live34854
1514966574372954118,Rebacca7654,2022-04-15 13:59:12+00:00,"@Thecryptomist Look into this bullish project MetalBackedMoney that runs on ethereum block chain technology which also enables liquidity, financial leverage and decentralized transactions",thecryptomist look bullish project metalbackedmoney runs ethereum block chain technology also enables liquidity financial leverage decentralized transactions
1514966567108456462,cotti_fi,2022-04-15 13:59:10+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/IU8ZwnO4Ui",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966545642188801,ShreeHQ,2022-04-15 13:59:05+00:00,"Shree Coin's compatibility alongside Ethereum is unparalleled by any other crypto project. 💪

Shree Coin stands at forefront of the blockchain innovation.
💥⚡️
__
To Know more about Shree Coin and its various applications in the crypto ecosystem visit: https://t.co/mshrIrnf6n https://t.co/t5E32rhdKh",shree coins compatibility alongside ethereum unparalleled crypto project shree coin stands forefront blockchain innovation__to know shree coin various applications crypto ecosystem visit
1514966542185865216,cotti_fi,2022-04-15 13:59:05+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/Cq1cVZYoH4",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966538268389382,JohnFcarter14,2022-04-15 13:59:04+00:00,Some thoughts I posted over the weekend on how to offset the deliberate imploding purchasing power of the dollar and all major currencies.  $DXY $GC #Bitcoin  #Ethereum,thoughts posted weekend offset deliberate imploding purchasing power dollar major currencies dxy gc bitcoin ethereum
1514966535735025671,KARTHIKs_nft,2022-04-15 13:59:03+00:00,@Dix_eth https://t.co/PqJyW0kYw7. Music art vs war by karthik,dix_eth music art vs war karthik
1514966527526719491,MCStaker,2022-04-15 13:59:01+00:00,"🔥🔥1 MINUTE LEFT TO LAUNCH🔥🔥
🔥🔥1 MINUTE LEFT TO LAUNCH🔥🔥
🔥🔥1 MINUTE LEFT TO LAUNCH🔥🔥
🔥🔥1 MINUTE LEFT TO LAUNCH🔥🔥

#AVAX #FTM  #ONE #HarmonyONE #Harmony #crypto #avalanche #matic #bnb #bitcoin #ethereum #Doge #crypto #DeFi #cryptocurrecy #CryptoNews",1 minute left launch1 minute left launch1 minute left launch1 minute left launchavax ftm one harmonyone harmony crypto avalanche matic bnb bitcoin ethereum doge crypto defi cryptocurrecy cryptonews
1514966522896261125,URECOMM,2022-04-15 13:59:00+00:00,"Best Ethereum Casino Sites Online for ETH Casino Games, Bonuses &amp; More | Branded Voices https://t.co/ddQuKTObPx",best ethereum casino sites online eth casino games bonuses amp brandedvoices
1514966522183262210,alexoncrypto,2022-04-15 13:59:00+00:00,"The evolution of #Ethereum is inevitable, planned and ever-continuing.",evolution ethereum inevitable planned evercontinuing
1514966519666647047,cotti_fi,2022-04-15 13:58:59+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/kE7IsNJmtN",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966508396593164,Creeper68308217,2022-04-15 13:58:56+00:00,"I've just created ""Dragon blue"" collectible! https://t.co/eseyX7WcZ2 #rarible #ethereum #nonfungible #digitalasset #nft via @rarible",ive created dragon blue collectible rarible ethereum nonfungible digitalasset nft via rarible
1514966498233749508,cotti_fi,2022-04-15 13:58:54+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/4th5F8oToD",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966485319696385,tastedsour,2022-04-15 13:58:51+00:00,Requesting faucet funds into 0xeb4b1af3580551F7AcCFF1f847b9886882Fff0Ae on the #Rinkeby #Ethereum test network.,requesting faucet funds 0xeb4b1af3580551f7accff1f847b9886882fff0ae rinkeby ethereum test network
1514966477157322761,cotti_fi,2022-04-15 13:58:49+00:00,"@NFTColl90428561 Hi, Kotti wants to make friends with you. Don't miss the chance to make a rare friend of Kotti Cat.❤
https://t.co/w8u8lbQPA5
🍳🍳
#nftcollectibles #nfts  #nftdrop #nft #nftcollector #nftart #art #artgallery  #opensea #ethereum #animation #artwork #NFTGiveaway #ETH #NFTCommumity https://t.co/AAScsve1NJ",nftcoll90428561 hi kotti wants make friends dont miss chance make rare friend kotti catnftcollectibles nfts nftdrop nft nftcollector nftart art artgallery opensea ethereum animation artwork nftgiveaway eth nftcommumity
1514966472916938765,usd2btc,2022-04-15 13:58:48+00:00,Janet Yellen's Crypto Regulation about to PUMP the Markets (Ethereum Merge Pushed Back) https://t.co/NUxTUxTNSX,janet yellens crypto regulation pump markets ethereum merge pushedback
1514966464129818629,ETHGasPriceBot,2022-04-15 13:58:46+00:00,Slow 19 | Normal 20 | Fast 48 | Instant 65.5 👈 current Ethereum gas prices in gwei. DM me a price and I will DM you as soon as gas drops below that price 👍 #Ethereum #GasPrice #ETHGasPrice #ETH,slow 19 normal 20 fast 48 instant 655 current ethereum gas prices gwei dm price dm soon gas drops price ethereum gasprice ethgasprice eth
